Altium Designer Pick and Place Locations
C:\MyFiles\x-io\Services\MICA Lab\Twintig\Twintig-Tap-Pads\PCB\Project Outputs for Twintig-Tap-Pads\Pick Place\Pick Place for Twintig-Tap-Pads.csv

========================================================================================================================
File Design Information:

Date:       27/08/25
Time:       09:14
Revision:   da8f271acc723315d663d0da0a9fb5c494b2919b
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"J3","42.0000mm","75.5000mm","TopLayer","0","Molex 90121-0766"
"R7","44.5000mm","71.6900mm","TopLayer","0","470R"
"R5","44.5000mm","74.2300mm","TopLayer","0","470R"
"R8","44.5000mm","69.1500mm","TopLayer","0","470R"
"R6","44.5000mm","79.3100mm","TopLayer","0","470R"
"J7","196.0000mm","84.0000mm","TopLayer","180","Molex 90121-0763"
"J6","196.0000mm","64.0000mm","TopLayer","180","Molex 90121-0763"
"J5","196.0000mm","44.0000mm","TopLayer","180","Molex 90121-0763"
"J4","196.0000mm","24.0000mm","TopLayer","180","Molex 90121-0763"
"C28","196.6500mm","72.0000mm","TopLayer","0","10uF"
"U11","196.0000mm","76.0000mm","TopLayer","270","SK6812MINI-012"
"C27","196.6500mm","52.0000mm","TopLayer","0","10uF"
"U10","196.0000mm","56.0000mm","TopLayer","270","SK6812MINI-012"
"C26","196.6500mm","32.0000mm","TopLayer","0","10uF"
"U9","196.0000mm","36.0000mm","TopLayer","270","SK6812MINI-012"
"C25","196.6500mm","12.0000mm","TopLayer","0","10uF"
"U8","196.0000mm","16.0000mm","TopLayer","270","SK6812MINI-012"
"C24","163.0000mm","4.3500mm","TopLayer","270","10uF"
"U7","167.0000mm","5.0000mm","TopLayer","180","SK6812MINI-012"
"C23","118.0000mm","4.3500mm","TopLayer","270","10uF"
"U6","122.0000mm","5.0000mm","TopLayer","180","SK6812MINI-012"
"C22","73.0000mm","4.3500mm","TopLayer","270","10uF"
"U5","77.0000mm","5.0000mm","TopLayer","180","SK6812MINI-012"
"R1","56.5000mm","72.0000mm","TopLayer","0","10kR"
"C9","58.0000mm","84.0000mm","TopLayer","180","100nF"
"U4","32.0000mm","5.0000mm","TopLayer","180","SK6812MINI-012"
"U3","49.0000mm","85.0000mm","TopLayer","270","SN74LV1T34DCKR"
"C21","28.0000mm","4.3500mm","TopLayer","270","10uF"
"C20","49.0000mm","83.0000mm","TopLayer","180","100nF"
"R20","54.0000mm","65.0000mm","TopLayer","90","100kR"
"R17","52.0000mm","65.0000mm","TopLayer","90","100kR"
"R14","50.0000mm","65.0000mm","TopLayer","90","100kR"
"R11","48.0000mm","65.0000mm","TopLayer","90","100kR"
"C19","54.0000mm","63.0000mm","TopLayer","90","220pF"
"C17","52.0000mm","63.0000mm","TopLayer","90","220pF"
"C15","50.0000mm","63.0000mm","TopLayer","90","220pF"
"C13","48.0000mm","63.0000mm","TopLayer","90","220pF"
"R19","62.0000mm","65.0000mm","TopLayer","90","100kR"
"R18","167.0000mm","95.0000mm","TopLayer","90","Interlink FSR 406"
"R16","60.0000mm","65.0000mm","TopLayer","90","100kR"
"R15","122.0000mm","95.0000mm","TopLayer","90","Interlink FSR 406"
"R13","58.0000mm","65.0000mm","TopLayer","90","100kR"
"R12","77.0000mm","95.0000mm","TopLayer","90","Interlink FSR 406"
"C18","62.0000mm","63.0000mm","TopLayer","90","220pF"
"C16","60.0000mm","63.0000mm","TopLayer","90","220pF"
"C14","58.0000mm","63.0000mm","TopLayer","90","220pF"
"R9","32.0000mm","95.0000mm","TopLayer","90","Interlink FSR 406"
"C1","49.0000mm","76.5000mm","TopLayer","270","100nF"
"C2","54.5000mm","72.0000mm","TopLayer","180","100nF"
"C3","49.0000mm","79.0000mm","TopLayer","270","100nF"
"C4","61.0000mm","75.5000mm","TopLayer","270","10uF"
"C5","63.0000mm","75.5000mm","TopLayer","270","100nF"
"C6","55.5000mm","84.0000mm","TopLayer","180","100nF"
"C7","61.0000mm","78.5000mm","TopLayer","270","100nF"
"C8","62.0000mm","82.0000mm","TopLayer","0","100nF"
"C10","64.5000mm","88.0000mm","TopLayer","180","10uF"
"C11","64.5000mm","90.0000mm","TopLayer","180","10uF"
"C12","56.0000mm","63.0000mm","TopLayer","90","220pF"
"D1","54.5000mm","91.0000mm","TopLayer","270","SP0402B-ULC-01ETG"
"D2","53.0000mm","91.0000mm","TopLayer","270","SP0402B-ULC-01ETG"
"D3","57.5000mm","91.0000mm","TopLayer","270","SP0402B-ULC-01ETG"
"J1","65.6350mm","71.0000mm","TopLayer","270","DNP"
"J2","54.5000mm","95.2500mm","TopLayer","180","Molex 217179-0001"
"R2","61.0000mm","73.5000mm","TopLayer","270","33R"
"R3","51.5000mm","91.0000mm","TopLayer","90","5.1kR"
"R4","56.0000mm","91.0000mm","TopLayer","90","5.1kR"
"R10","56.0000mm","65.0000mm","TopLayer","90","100kR"
"U1","55.0000mm","78.0000mm","TopLayer","90","PIC32MZ0512EFE064-I/MR"
"U2","61.5000mm","89.0000mm","TopLayer","180","TPS7A0533PDBZ"
"Y1","61.5000mm","84.0000mm","TopLayer","180","ECS-2520MV-240-BN-TR"
